,households,latitude,longitude,median_house_value,median_income,ocean_proximity,population,total_bedrooms,total_rooms,House_Age
98,1250,37.82,-122.26,170000,1.2185,3,2024,1270.0,3682,1
99,980,37.82,-122.26,193100,2.6104,3,1838,1085.0,3633,1
100,1250,37.81,-122.25,257800,2.4912,3,2304,1414.0,4656,1
101,1497,37.81,-122.25,273400,3.2177,3,2563,1603.0,5806,1
102,228,37.81,-122.25,237500,3.125,3,389,242.0,854,1
103,613,37.81,-122.25,350000,2.5795,3,895,701.0,2155,1
104,1789,37.81,-122.26,335700,2.8406,3,2689,1914.0,5871,1
105,244,37.82,-122.24,313400,4.9306,3,674,225.0,1509,1
106,456,37.81,-122.24,268500,3.2727,3,709,482.0,2026,1
107,422,37.81,-122.25,259400,3.1691,3,686,460.0,1758,1
108,718,37.82,-122.24,275700,3.9,3,1444,751.0,3481,1
109,802,37.82,-122.25,225000,3.9063,3,1520,855.0,3337,1
110,253,37.82,-122.25,262500,5.0917,3,550,289.0,1424,1
111,1022,37.82,-122.25,218500,2.6429,3,1806,1098.0,3809,1
112,1217,37.82,-122.25,255000,3.0233,3,1749,1196.0,3959,1
113,519,37.83,-122.25,224100,3.1484,3,939,559.0,2376,1
114,422,37.83,-122.25,243100,3.4722,3,675,428.0,1613,1
115,291,37.83,-122.25,231600,3.1429,3,534,287.0,1279,1
116,1661,37.83,-122.25,218500,2.4234,3,2558,1750.0,5022,1
117,1037,37.83,-122.25,234100,3.0897,3,1786,1105.0,4190,1
118,373,37.84,-122.23,327600,5.8596,3,970,399.0,2515,1
119,485,37.84,-122.23,347600,5.2868,3,1098,454.0,3175,1
120,376,37.83,-122.24,366100,5.956,3,794,406.0,2576,1
121,47,37.85,-122.24,335000,4.9643,3,98,54.0,334,1
122,403,37.85,-122.23,373600,6.3434,3,1061,411.0,2800,1
123,555,37.84,-122.24,389500,5.1773,3,1177,574.0,3529,1
124,367,37.85,-122.24,391100,7.2354,3,901,365.0,2612,1
125,956,37.85,-122.22,337300,5.457,3,2031,1048.0,5287,1
126,479,37.84,-122.22,295200,7.5,3,1031,473.0,2935,1
127,597,37.84,-122.21,292300,6.0194,3,1358,597.0,3424,1
128,654,37.83,-122.21,411500,7.5544,3,1616,674.0,4991,1
129,343,37.84,-122.2,311500,6.0666,3,844,346.0,2211,1
130,496,37.84,-122.21,325900,7.0548,3,1140,490.0,3038,1
131,194,37.84,-122.19,392600,11.6017,3,533,210.0,1617,1
132,443,37.84,-122.2,319300,7.4882,3,1072,460.0,2865,1
133,766,37.83,-122.21,333300,6.8976,3,1627,788.0,5065,1
134,190,37.83,-122.19,335200,8.2049,3,463,184.0,1326,1
135,211,37.83,-122.2,351200,8.401,3,542,223.0,1589,1
136,269,37.83,-122.19,368900,6.8538,3,661,271.0,1791,1
137,263,37.82,-122.19,365900,8.317,3,635,264.0,1835,1
138,176,37.82,-122.2,366700,7.0175,3,420,181.0,1229,1
139,500,37.82,-122.2,362800,6.3302,3,1265,534.0,3770,1
140,52,37.81,-122.18,483300,6.3624,3,126,38.0,292,1
141,350,37.82,-122.21,331400,7.0549,3,813,333.0,2375,1
142,426,37.81,-122.2,323500,6.7851,3,1067,436.0,2964,1
143,552,37.8,-122.21,216700,2.8929,3,1260,605.0,2833,1
144,487,37.8,-122.21,233100,3.0812,3,951,535.0,2254,1
145,224,37.81,-122.21,296400,5.2402,3,510,212.0,1389,1
146,308,37.81,-122.22,273700,6.5217,3,765,335.0,1971,1
147,460,37.8,-122.22,227700,3.2632,3,1129,465.0,2183,1
148,441,37.8,-122.22,199600,3.0298,3,1073,464.0,2286,1
149,515,37.8,-122.22,239800,4.5428,3,1185,541.0,2721,1
150,340,37.81,-122.22,270100,4.072,3,756,339.0,2024,1
151,521,37.81,-122.22,302100,5.3509,3,1034,536.0,2944,1
152,459,37.8,-122.23,269500,3.1603,3,787,486.0,2033,1
153,213,37.81,-122.23,314700,4.7708,3,612,229.0,1433,1
154,380,37.81,-122.22,390100,8.1564,3,1021,402.0,2927,1
155,258,37.81,-122.23,410300,8.8793,3,861,292.0,2315,1
156,327,37.81,-122.24,352400,6.8591,3,953,313.0,2485,1
157,256,37.81,-122.24,287300,6.0302,3,634,238.0,1490,1
158,352,37.81,-122.23,348700,7.508,3,878,365.0,2814,1
159,483,37.81,-122.24,243800,2.7477,3,918,550.0,2093,1
160,175,37.8,-122.24,211500,2.1944,3,360,168.0,888,1
161,488,37.8,-122.25,218400,3.0149,3,1197,510.0,2087,1
162,518,37.81,-122.24,269900,3.675,3,1048,502.0,2513,1
163,747,37.81,-122.25,218800,3.225,3,1373,835.0,3232,1
164,1015,37.8,-122.25,225000,2.9345,3,1715,1065.0,4120,1
165,722,37.8,-122.25,250000,2.1429,3,1359,792.0,2364,1
166,413,37.8,-122.25,171400,1.6121,3,1062,469.0,1471,1
167,773,37.8,-122.25,193800,1.3929,3,1335,864.0,2468,1
168,429,37.79,-122.24,125000,2.3173,3,1171,492.0,1632,1
169,460,37.79,-122.25,97500,1.7772,3,1475,526.0,1786,1
170,196,37.79,-122.25,125000,2.6458,3,742,188.0,629,1
171,363,37.79,-122.25,138800,2.181,3,1086,391.0,1339,1
172,543,37.8,-122.25,116700,2.2303,3,1645,606.0,1678,1
173,644,37.8,-122.25,151800,1.6504,3,1710,647.0,2344,1
174,228,37.8,-122.24,127000,2.2697,3,731,228.0,996,1
175,347,37.8,-122.24,128600,2.1563,3,1118,373.0,1591,1
176,335,37.8,-122.24,140600,2.1348,3,1006,398.0,1586,1
177,554,37.8,-122.24,182700,2.6292,3,1213,588.0,2046,1
178,257,37.8,-122.23,146900,2.3833,3,772,289.0,1192,1
179,401,37.8,-122.24,122800,2.957,3,1321,420.0,1803,1
180,677,37.8,-122.24,169300,2.5238,3,1487,749.0,2838,1
181,186,37.8,-122.23,126600,1.9375,3,488,184.0,783,1
182,392,37.8,-122.23,127900,1.9028,3,949,414.0,1590,1
183,415,37.8,-122.23,123500,2.25,3,1149,480.0,1746,1
184,280,37.8,-122.23,111900,2.3929,3,844,299.0,1252,1
185,1231,37.79,-122.23,112800,2.1917,3,4367,1344.0,5963,1
186,412,37.79,-122.23,107900,2.9357,3,1659,395.0,1783,1
187,263,37.79,-122.23,137500,1.8854,3,1011,264.0,999,1
188,389,37.79,-122.24,105500,2.1638,3,1464,431.0,1469,1
189,303,37.79,-122.24,95500,2.125,3,1237,395.0,1372,1
190,168,37.79,-122.24,116100,3.375,3,647,180.0,674,1
191,357,37.79,-122.24,112200,2.2542,3,1284,376.0,1626,1
192,55,37.79,-122.25,75000,2.1,3,228,43.0,175,1
193,123,37.79,-122.25,112500,1.6,3,381,129.0,461,1
194,227,37.79,-122.25,125000,3.625,3,846,237.0,902,1
195,676,37.8,-122.26,115000,1.6929,3,1659,779.0,2373,1
196,138,37.77,-122.22,95000,1.6471,3,520,128.0,391,1
197,259,37.77,-122.22,96400,2.59,3,866,301.0,1137,1
198,183,37.77,-122.23,72000,2.57,3,612,206.0,769,1
199,126,37.78,-122.23,71300,2.6429,3,415,146.0,472,1
200,213,37.78,-122.23,80800,3.0257,3,994,215.0,862,1
201,477,37.78,-122.22,128800,1.4886,3,1525,530.0,1920,1
202,438,37.78,-122.23,112500,1.9338,3,1506,472.0,1420,1
203,255,37.78,-122.23,119400,1.4844,3,1008,258.0,986,1
204,751,37.78,-122.23,118100,1.6009,3,2813,825.0,2340,1
205,343,37.79,-122.23,122500,2.0375,3,1481,396.0,1696,1
206,219,37.79,-122.23,106300,2.293,3,859,217.0,1175,1
207,523,37.79,-122.22,132500,2.1494,3,1608,574.0,2343,1
208,140,37.79,-122.23,122700,1.6198,3,425,145.0,610,1
209,184,37.79,-122.23,113300,1.3281,3,564,199.0,930,1
210,272,37.79,-122.22,109500,3.5156,3,961,314.0,1487,1
211,685,37.79,-122.22,164700,3.9048,3,2273,690.0,3424,1
212,195,37.79,-122.21,125000,3.0893,3,600,190.0,762,1
213,527,37.79,-122.22,124700,2.6042,3,1647,575.0,2366,1
214,424,37.79,-122.22,136700,2.5,3,1201,450.0,1826,1
215,659,37.79,-122.22,141700,2.7969,3,2167,711.0,3049,1
216,340,37.79,-122.2,150000,2.8321,3,939,376.0,1640,1
217,292,37.79,-122.21,138800,2.9583,3,859,307.0,1543,1
218,516,37.79,-122.21,139200,2.8365,3,1517,557.0,2364,1
219,386,37.79,-122.21,143800,2.875,3,1143,409.0,1745,1
220,464,37.8,-122.21,156500,3.0682,3,1109,500.0,2003,1
221,446,37.8,-122.21,151000,3.0757,3,1221,447.0,2018,1
222,455,37.8,-122.2,273000,4.9559,3,1115,499.0,3045,1
223,268,37.8,-122.2,217100,4.7721,3,706,293.0,1547,1
224,706,37.8,-122.21,187100,3.4861,3,1883,711.0,3519,1
225,340,37.8,-122.2,239600,5.1184,3,804,354.0,2070,1
226,252,37.8,-122.21,229700,4.0977,3,506,263.0,1321,1
227,238,37.8,-122.19,257300,4.744,3,610,259.0,1694,1
228,332,37.8,-122.19,246900,4.2727,3,768,341.0,1938,1
229,184,37.79,-122.19,179900,2.9844,3,462,195.0,968,1
230,235,37.79,-122.2,169600,4.1739,3,667,256.0,1060,1
231,399,37.8,-122.2,203300,3.8487,3,1059,405.0,2041,1
232,277,37.8,-122.19,263400,4.0114,3,637,271.0,1813,1
233,454,37.79,-122.19,231800,4.6563,3,1106,451.0,2718,1
234,669,37.79,-122.19,140500,2.9297,3,1737,761.0,3144,1
235,390,37.79,-122.2,126000,2.3036,3,1009,459.0,1802,1
236,210,37.79,-122.2,122000,2.6667,3,737,195.0,882,1
237,491,37.79,-122.2,134700,2.619,3,1354,452.0,1621,1
238,474,37.79,-122.21,139400,2.4167,3,1530,533.0,2115,1
239,480,37.79,-122.2,115400,2.7788,3,1410,528.0,2021,1
240,569,37.78,-122.21,137300,2.7352,3,1390,508.0,2239,1
241,269,37.78,-122.21,137000,1.8472,3,1065,300.0,1477,1
242,245,37.78,-122.21,142600,2.6583,3,792,224.0,1056,1
243,245,37.78,-122.21,137500,3.0536,3,779,244.0,898,1
244,610,37.78,-122.22,111700,2.3906,3,2269,710.0,2968,1
245,407,37.78,-122.21,126800,1.7188,3,1227,460.0,1702,1
246,241,37.78,-122.21,111300,2.625,3,753,248.0,881,1
247,135,37.77,-122.22,114800,2.8015,3,547,114.0,494,1
248,440,37.78,-122.22,102300,1.7276,3,1807,473.0,1776,1
249,495,37.78,-122.22,131900,2.0801,3,1700,514.0,1678,1
250,393,37.78,-122.22,119100,2.489,3,1543,463.0,1637,1
251,300,37.76,-122.21,80600,1.7546,3,1085,314.0,1420,1
252,137,37.77,-122.21,80600,4.0904,3,353,173.0,591,1
253,149,37.77,-122.21,88800,2.6765,3,473,153.0,745,1
254,483,37.77,-122.2,102400,2.4338,3,1621,498.0,2272,1
255,354,37.77,-122.21,98700,2.3309,3,1183,375.0,1234,1
256,277,37.77,-122.21,100000,2.2604,3,836,328.0,1017,1
257,263,37.77,-122.19,92300,1.8039,3,900,254.0,932,1
258,537,37.77,-122.2,94800,2.2562,3,1888,597.0,2689,1
259,341,37.77,-122.2,102000,2.0562,3,1024,415.0,1547,1
260,423,37.78,-122.2,158400,3.5398,3,1225,443.0,2300,1
261,376,37.78,-122.2,121600,3.1167,3,1071,399.0,1752,1
262,378,37.78,-122.2,129100,2.5401,3,1128,403.0,1867,1
263,484,37.77,-122.2,121400,2.898,3,1537,502.0,2430,1
264,393,37.78,-122.21,102800,2.3125,3,1240,414.0,1729,1
265,168,37.78,-122.19,160000,2.875,3,469,180.0,1026,1
266,425,37.77,-122.19,143900,3.3715,3,1086,428.0,2170,1
267,417,37.77,-122.19,151200,3.5114,3,1144,445.0,2329,1
268,375,37.78,-122.19,164400,4.3125,3,1109,415.0,2492,1
269,369,37.78,-122.19,156500,3.22,3,984,397.0,2198,1
270,47,37.78,-122.18,225000,3.875,3,575,31.0,142,1
271,209,37.78,-122.19,174200,5.2328,3,496,205.0,1183,1
272,190,37.78,-122.19,166900,3.7262,3,555,193.0,1070,1
273,327,37.78,-122.2,163500,4.5893,3,869,332.0,1766,1
274,106,37.79,-122.18,253000,5.2578,3,236,95.0,617,1
275,214,37.79,-122.18,240700,7.0875,3,626,233.0,1411,1
276,329,37.79,-122.18,208100,3.9712,3,922,387.0,2109,1
277,256,37.79,-122.19,198100,2.9514,3,582,243.0,1229,1
278,201,37.79,-122.19,172800,2.6667,3,546,217.0,954,1
279,266,37.81,-122.18,336700,5.4446,3,620,262.0,1643,1
280,195,37.8,-122.18,318200,6.2838,3,442,195.0,1355,1
281,328,37.8,-122.18,285800,6.7527,3,955,336.0,2317,1
282,324,37.77,-122.13,293000,7.0712,3,916,317.0,2459,1
283,1967,37.79,-122.16,371000,5.9849,3,4985,2048.0,12842,1
284,267,37.78,-122.17,157300,3.6875,3,651,260.0,1524,1
285,703,37.77,-122.17,135300,2.875,3,1704,746.0,3326,1
286,407,37.78,-122.18,136700,3.4205,3,1085,440.0,1985,1
287,284,37.78,-122.18,160700,3.2984,3,713,322.0,1642,1
288,181,37.78,-122.17,140600,3.875,3,468,177.0,893,1
289,121,37.78,-122.17,144000,4.175,3,296,128.0,653,1
291,180,37.77,-122.16,156300,4.7708,3,446,194.0,977,1
292,384,37.77,-122.16,176000,3.5739,3,968,397.0,2324,1
293,316,37.77,-122.16,145800,3.0958,3,857,349.0,1583,1
294,322,37.77,-122.17,141900,3.3958,3,912,342.0,1612,1
295,452,37.77,-122.17,90700,1.871,3,1360,533.0,2424,1
296,355,37.76,-122.17,90600,1.9356,3,1074,367.0,1594,1
297,382,37.76,-122.17,107900,2.1842,3,965,413.0,2118,1
298,320,37.76,-122.18,107000,2.2917,3,933,358.0,1575,1
299,354,37.76,-122.17,98200,2.4333,3,987,397.0,1764,1
300,246,37.76,-122.18,89500,1.9479,3,907,261.0,1187,1
301,165,37.76,-122.18,93800,3.9063,3,447,175.0,754,1
302,451,37.76,-122.18,96700,1.8407,3,1299,452.0,2308,1
303,157,37.77,-122.18,97500,2.0786,3,396,236.0,909,1
304,268,37.77,-122.18,97300,2.8125,3,877,257.0,1180,1
305,367,37.76,-122.18,91200,1.8913,3,1111,408.0,2018,1
306,269,37.76,-122.19,91400,1.7056,3,790,282.0,1368,1
307,554,37.77,-122.18,96200,2.2768,3,1479,547.0,2744,1
308,438,37.77,-122.18,120100,3.2552,3,1173,471.0,2107,1
309,366,37.77,-122.18,100000,2.0556,3,1029,362.0,1748,1
310,350,37.76,-122.19,94700,2.4659,3,1030,391.0,2024,1
311,279,37.76,-122.2,85700,1.75,3,826,259.0,1116,1
312,454,37.77,-122.19,89300,2.0469,3,1412,510.0,2036,1
313,349,37.77,-122.19,101400,2.7159,3,1132,393.0,1852,1
314,159,37.76,-122.19,72500,1.2083,3,522,207.0,921,1
315,237,37.76,-122.19,74100,1.925,3,630,238.0,995,1
316,133,37.75,-122.2,70000,1.5809,3,531,132.0,606,1
317,667,37.76,-122.2,84600,1.4097,3,1925,736.0,2680,1
318,351,37.76,-122.19,81800,0.7683,3,1144,370.0,1493,1
319,520,37.75,-122.19,81400,1.3194,3,1481,565.0,2207,1
320,162,37.75,-122.19,81800,0.8012,3,435,189.0,856,1
321,303,37.76,-122.19,85800,1.9479,3,984,297.0,1293,1
322,159,37.74,-122.19,87100,1.1765,3,567,212.0,847,1
323,123,37.74,-122.18,83500,2.3456,3,380,154.0,541,1
324,244,37.73,-122.19,79700,2.1538,3,825,253.0,1066,1
325,155,37.74,-122.19,83400,2.5139,3,417,147.0,707,1
326,287,37.73,-122.19,84700,1.2625,3,801,291.0,1528,1
327,198,37.73,-122.18,80000,2.9063,3,646,215.0,909,1
328,285,37.73,-122.18,76400,2.5192,3,855,293.0,1391,1
329,136,37.73,-122.18,79700,2.1111,3,435,119.0,548,1
330,780,37.73,-122.18,82400,2.455,3,2736,874.0,4074,1
331,414,37.74,-122.17,97700,2.4028,3,1481,445.0,1613,1
332,137,37.74,-122.17,97200,2.15,3,327,134.0,463,1
333,179,37.74,-122.17,101600,2.4776,3,494,193.0,818,1
334,341,37.73,-122.17,86500,2.1587,3,1231,371.0,1473,1
335,109,37.74,-122.18,90500,1.8438,3,323,126.0,504,1
336,225,37.74,-122.17,107600,3.0298,3,749,226.0,1026,1
337,178,37.74,-122.17,84200,2.25,3,693,183.0,769,1
338,354,37.74,-122.18,88900,2.2467,3,1339,391.0,2103,1
339,80,37.75,-122.18,80700,4.0469,3,282,76.0,330,1
340,195,37.75,-122.18,87100,1.325,3,621,218.0,941,1
342,260,37.75,-122.18,82000,2.1731,3,901,261.0,990,1
343,150,37.75,-122.19,82800,1.9167,3,482,263.0,1126,1
344,213,37.75,-122.18,84600,2.069,3,652,233.0,1036,1
345,166,37.75,-122.18,82100,1.712,3,651,214.0,1047,1
346,286,37.76,-122.17,89300,2.5625,3,999,307.0,1280,1
347,306,37.75,-122.17,98300,1.9821,3,907,320.0,1587,1
348,230,37.75,-122.17,92300,2.5043,3,828,271.0,1257,1
349,254,37.75,-122.17,88800,2.3281,3,763,248.0,1218,1
350,349,37.75,-122.17,90000,1.4375,3,935,390.0,1751,1
351,484,37.76,-122.16,95500,2.5122,3,1437,514.0,2299,1
352,482,37.75,-122.16,91700,1.5625,3,1516,624.0,2457,1
353,185,37.75,-122.17,100400,3.1587,3,597,211.0,998,1
354,342,37.76,-122.17,94800,1.8426,3,949,343.0,1685,1
355,302,37.76,-122.16,164300,4.6696,3,881,307.0,1827,1
356,519,37.76,-122.16,155500,2.4598,3,1438,574.0,2781,1
357,270,37.76,-122.15,196900,6.0749,3,763,286.0,1823,1
358,355,37.77,-122.14,279100,4.8304,3,1297,365.0,2229,1
359,211,37.76,-122.14,252800,5.5701,3,545,231.0,1513,1
360,533,37.76,-122.13,275400,5.37,3,1222,491.0,3266,1
361,219,37.75,-122.12,250000,6.86,3,808,261.0,1809,1
362,109,37.75,-122.12,329800,7.6923,3,329,111.0,794,1
363,109,37.75,-122.14,195500,4.0313,3,299,105.0,690,1
364,202,37.75,-122.14,255900,6.8323,3,579,200.0,1334,1
365,50,37.75,-122.13,311100,4.975,3,137,54.0,414,1
366,93,37.75,-122.13,330000,5.3602,3,229,93.0,768,1
367,648,37.74,-122.13,248900,5.0,3,1476,666.0,4400,1
368,154,37.75,-122.16,142900,2.925,3,429,161.0,954,1
369,255,37.75,-122.15,126300,3.8913,3,849,256.0,1445,1
370,331,37.75,-122.15,135800,3.225,3,946,399.0,1938,1
371,191,37.74,-122.15,130600,3.1458,3,571,178.0,856,1
372,386,37.75,-122.16,107900,2.537,3,1137,454.0,1790,1
373,135,37.75,-122.16,111100,2.5568,3,378,131.0,617,1
374,272,37.74,-122.15,122000,3.5083,3,853,275.0,1383,1
375,282,37.74,-122.15,118000,3.3125,3,764,277.0,1325,1
376,261,37.75,-122.16,95200,1.8235,3,928,294.0,1227,1
377,133,37.75,-122.16,94300,3.8047,3,406,140.0,667,1
378,280,37.74,-122.17,92500,2.2917,3,824,281.0,1223,1
379,259,37.75,-122.17,91800,2.4962,3,835,287.0,1379,1
380,295,37.74,-122.16,109400,4.0417,3,826,300.0,1534,1
381,211,37.74,-122.16,129500,3.4844,3,567,181.0,1029,1
382,144,37.74,-122.16,143400,4.1458,3,355,147.0,771,1
383,166,37.74,-122.16,98200,2.625,3,533,223.0,824,1
384,215,37.74,-122.16,103100,2.0227,3,609,239.0,1097,1
385,236,37.9,-122.29,276800,3.3333,3,576,238.0,1283,1
386,286,37.9,-122.29,270900,5.338,3,594,263.0,1604,1
387,377,37.89,-122.29,246200,3.4732,3,870,422.0,2248,1
388,509,37.9,-122.3,224200,3.5125,3,1027,522.0,2263,1
389,326,37.89,-122.29,229100,3.1375,3,693,349.0,1571,1
390,375,37.89,-122.3,211600,2.8036,3,815,402.0,1520,1
391,1146,37.9,-122.3,256100,4.5824,3,2420,1212.0,5083,1
392,276,37.89,-122.3,206300,3.0208,3,518,293.0,1077,1
393,275,37.89,-122.3,221300,4.0875,3,620,283.0,1248,1
394,266,37.89,-122.33,207400,4.5268,3,551,291.0,1342,1
395,924,37.88,-122.34,350000,1.7375,3,2556,930.0,3061,1
396,696,37.89,-122.29,218200,3.1795,3,1498,698.0,3171,1
397,227,37.88,-122.29,216700,3.8672,3,523,261.0,1211,1
398,153,37.89,-122.29,270600,5.1675,3,374,175.0,979,1
399,371,37.89,-122.29,261400,5.1696,3,1004,380.0,2269,1
400,334,37.88,-122.28,261300,4.2614,3,769,332.0,1844,1
401,423,37.89,-122.29,232200,5.0551,3,940,421.0,2178,1
402,256,37.9,-122.27,375400,5.6228,3,645,274.0,1650,1
403,288,37.9,-122.26,357300,7.8864,3,705,279.0,1927,1
404,275,37.9,-122.27,374400,7.9556,3,684,273.0,2079,1
405,236,37.9,-122.27,358800,6.174,3,572,240.0,1803,1
406,253,37.9,-122.27,417500,6.9414,3,671,270.0,2041,1
407,365,37.89,-122.27,430500,8.8342,3,975,373.0,3046,1
408,312,37.9,-122.28,362900,7.1754,3,779,328.0,2318,1
409,244,37.9,-122.28,397000,10.0825,3,658,250.0,2003,1
